crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2025-03-30T00:00:00Z,15:35:00,BRONX,10453,40.847683,-73.91236,"
,  
(40.847683, -73.91236)",E 175 ST,JEROME AVE,NA,1,0,1,0,0,0,0,0,Unspecified,NA,NA,NA,NA,4803232,Sedan,NA,NA,NA,NA
2025-03-30T00:00:00Z,23:00:00,BROOKLYN,11226,40.652313,-73.95601,"
,  
(40.652313, -73.95601)",BEDFORD AVE,LINDEN BLVD,NA,1,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,NA,NA,NA,4802215,E-Bike,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-30T00:00:00Z,19:20:00,QUEENS,11420,40.670135,-73.808975,"
,  
(40.670135, -73.808975)",NA,NA,130-07    133 AVE,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,NA,NA,NA,4802293,Sedan,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-30T00:00:00Z,18:30:00,BRONX,10462,40.834133,-73.850975,"
,  
(40.834133, -73.850975)",NA,NA,2244      WESTCHESTER AVE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,NA,NA,NA,4802431,Sedan,Motorcycle,NA,NA,NA
2025-03-30T00:00:00Z,00:11:00,QUEENS,11361,40.759583,-73.768936,"
,  
(40.759583, -73.768936)",BELL BLVD,45 RD,NA,1,0,1,0,0,0,0,0,Backing Unsafely,NA,NA,NA,NA,4801974,Sedan,NA,NA,NA,NA
2025-03-30T00:00:00Z,21:23:00,BRONX,10458,40.85713,-73.88079,"
,  
(40.85713, -73.88079)",E FORDHAM RD,SOUTHERN BLVD,NA,1,0,1,0,0,0,0,0,Unspecified,NA,NA,NA,NA,4802404,Sedan,NA,NA,NA,NA
2025-03-30T00:00:00Z,17:05:00,BROOKLYN,11210,40.6247,-73.94357,"
,  
(40.6247, -73.94357)",NEW YORK AVE,AVENUE K,NA,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4802503,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-30T00:00:00Z,05:20:00,BROOKLYN,11220,40.645664,-74.009735,"
,  
(40.645664, -74.009735)",5 AVE,49 ST,NA,0,0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,NA,NA,NA,4802007,Station Wagon/Sport Utility Vehicle,Taxi,NA,NA,NA
2025-03-30T00:00:00Z,04:15:00,BRONX,10462,40.832752,-73.84492,"
,  
(40.832752, -73.84492)",ZEREGA AVE,GLEASON AVE,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4802527,Sedan,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-30T00:00:00Z,04:48:00,QUEENS,11101,40.74403,-73.926155,"
,  
(40.74403, -73.926155)",39 ST,QUEENS BLVD,NA,1,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,NA,NA,NA,4802844,LIMO,E-Scooter,NA,NA,NA
2025-03-30T00:00:00Z,09:40:00,MANHATTAN,10016,40.747925,-73.97361,"
,  
(40.747925, -73.97361)",E 39 ST,2 AVE,NA,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4802093,Station Wagon/Sport Utility Vehicle,Bike,NA,NA,NA
